,Unnamed: 0,index,Title,Director,Cast,Genre,comb
4515,4515,4515,Pyar Ki Rahen,['Lekhraj Bhakri'],Pradeep Kumar|Anita Guha|Kuldip Kaur|Pran|Jeevan|Helen|Om Prakash|Tiwari|Sunder|,Romance,Lekhraj Bhakri Romance Pradeep KumarAnita GuhaKuldip KaurPranJeevanHelenOm PrakashTiwariSunder Pyar Ki Rahen
4516,4516,4516,Raat Ke Rahi,['Naseem'],Shammi Kapoor|Jabeen Jalil|Anwar Hussain|Iftekhar|Achala Sachdev|Radhika|Hammad|Manohar|Prem|Prem Sagar|Heera|Shujaat|Pyare|Suraj|,Action|Crime|Drama,Naseem ActionCrimeDrama Shammi KapoorJabeen JalilAnwar HussainIftekharAchala SachdevRadhikaHammadManoharPremPrem SagarHeeraShujaatPyareSuraj Raat Ke Rahi
4517,4517,4517,Parvarish,['Manmohan Desai'],Raj Kapoor|Mala Sinha|Lalita Pawar|Nasir Hussain|Krishnakant|Mehmood|Radhakrishan|Sheela Vaz|Brahm Bhardwaj|Meena|Devraj|Munshi|Burhan|Nadir|,Drama|Family,Manmohan Desai DramaFamily Raj KapoorMala SinhaLalita PawarNasir HussainKrishnakantMehmoodRadhakrishanSheela VazBrahm BhardwajMeenaDevrajMunshiBurhanNadir Parvarish
4518,4518,4518,Phir Subha Hogi,['Ramesh Saigal'],Raj Kapoor|Mala Sinha|Mubarak|Rehman|Jagdish Sethi|,Drama|Romance,Ramesh Saigal DramaRomance Raj KapoorMala SinhaMubarakRehmanJagdish Sethi Phir Subha Hogi
4519,4519,4519,School Master,['B. Ramakrishnaiah Panthulu'],Karan Dewan|Shakila|Saroja Devi B.|Radhakrishan|Raja Gosavi|Kamini Kadam|B. Ramakrishnaiah Panthulu|,\N,B Ramakrishnaiah Panthulu N Karan DewanShakilaSaroja Devi BRadhakrishanRaja GosaviKamini KadamB Ramakrishnaiah Panthulu School Master
4520,4520,4520,Madhumati,['Bimal Roy'],Dilip Kumar|Vyjayanthimala|Johnny Walker|Pran|Jayant|Tiwari|Misra|Baij Sharma|Bhudo Advani|Jagdish|Sagar|Ranjit Sood|Shivji Bhai|,Fantasy|Musical|Mystery,Bimal Roy FantasyMusicalMystery Dilip KumarVyjayanthimalaJohnny WalkerPranJayantTiwariMisraBaij SharmaBhudo AdvaniJagdishSagarRanjit SoodShivji Bhai Madhumati
4521,4521,4521,Madhumati,['Bimal Roy'],Dilip Kumar|Vyjayanthimala|Johnny Walker|Pran|Jayant|Tiwari|Misra|Baij Sharma|Bhudo Advani|Jagdish|Sagar|Ranjit Sood|Shivji Bhai|,Fantasy|Musical|Mystery,Bimal Roy FantasyMusicalMystery Dilip KumarVyjayanthimalaJohnny WalkerPranJayantTiwariMisraBaij SharmaBhudo AdvaniJagdishSagarRanjit SoodShivji Bhai Madhumati
4522,4522,4522,Sadhna,['B.R. Chopra'],Vyjayanthimala|Sunil Dutt|Radhakrishan|Leela Chitnis|Manmohan Krishna|Nandini|Munshi Munakka|Nissar|Ravikant|Uma Dutt|Nazir Kashmiri|Kathana|Munshi|C.L. Shah|,Drama,BR Chopra Drama VyjayanthimalaSunil DuttRadhakrishanLeela ChitnisManmohan KrishnaNandiniMunshi MunakkaNissarRavikantUma DuttNazir KashmiriKathanaMunshiCL Shah Sadhna
4523,4523,4523,Kala Pani,['Raj Khosla'],Dev Anand|Madhubala|Nalini Jaywant|Agha|Nasir Hussain|D.K. Sapru|Kishore Sahu|Krishan Dhawan|Mukri|M.A. Latif|Bir Sakuja|Jankidas|Praveen Paul|Mumtaz Begum|,Crime|Musical|Romance,Raj Khosla CrimeMusicalRomance Dev AnandMadhubalaNalini JaywantAghaNasir HussainDK SapruKishore SahuKrishan DhawanMukriMA LatifBir SakujaJankidasPraveen PaulMumtaz Begum Kala Pani
4524,4524,4524,Sahil,['Salar Pashtoonyar'],Amar|Chitra|Jankidas|Shammi Kapoor|Kuldip Kaur|Murad|,Mystery,Salar Pashtoonyar Mystery AmarChitraJankidasShammi KapoorKuldip KaurMurad Sahil
